2025-2026 HCQHA High Points,Coast Spring Classic Sep '25
Junior Horse,Coast Spring Classic Sep '25
Sure A Special Invite,4
Senior Horse,Coast Spring Classic Sep '25
Genetically Blessed,6
Blazin Lazy,4
LPH Matilda,4
Mandalong Tigerlilly,3
Harry Hypants,3
Amateur,Coast Spring Classic Sep '25
Michelle Southgate,6
Sarah Lambourne,4
Travis Baird,2
Novice Amateur,Coast Spring Classic Sep '25
Chey McCarty,20
Julie Arapa,17
Miranda Lamont,17
Select,Coast Spring Classic Sep '25
Peta Southgate,10
Tonya Turner,7
Jo Egge,6
Bunnii Mossman,3
Beginner,Coast Spring Classic Sep '25
Lorna Norton,19
Denise Turner,9
Sophie Hudson,7
Karen Burgess,7
Ally Rogers,3
Natasha Koeford,2
Kylie Ferguson,1
Youth,Coast Spring Classic Sep '25
Isabelle Hicks,12
Ivy Baird,3
Charlot Baird,3
Leadline,Coast Spring Classic Sep '25
Eva McCarty,2
